index	line_no	section	name	declared_n	raw_lines	text_rows	multimodal_rows	json_errors	empty_lines	no_conversations	path
10	12	=== flashlitev42_meta.json ===	codingBasic_deepcoderprimeintellecthard_claude46opus_20260805	1839	1839	1839	0	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/hongjiawei/code/ms-swift-hjw/miniModel/data_20260722/flash-lite-v42-0830/overall_swift/codingBasic_deepcoderprimeintellecthard_claude46opus_20260805.jsonl
11	13	=== flashlitev42_meta.json ===	codingBasic_deepcoderprimeintellectmedium_claude46opus_20260805	1375	1375	1375	0	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/hongjiawei/code/ms-swift-hjw/miniModel/data_20260722/flash-lite-v42-0830/overall_swift/codingBasic_deepcoderprimeintellectmedium_claude46opus_20260805.jsonl
12	14	=== flashlitev42_meta.json ===	codingBasic_deepcodertacoeasy_claude46opus_20260805	177	177	177	0	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/hongjiawei/code/ms-swift-hjw/miniModel/data_20260722/flash-lite-v42-0830/overall_swift/codingBasic_deepcodertacoeasy_claude46opus_20260805.jsonl
13	15	=== flashlitev42_meta.json ===	codingBasic_deepcodertacohard_claude46opus_20260805	1110	1110	1110	0	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/hongjiawei/code/ms-swift-hjw/miniModel/data_20260722/flash-lite-v42-0830/overall_swift/codingBasic_deepcodertacohard_claude46opus_20260805.jsonl
14	16	=== flashlitev42_meta.json ===	codingBasic_deepcodertacomedium_claude46opus_20260805	480	480	480	0	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/hongjiawei/code/ms-swift-hjw/miniModel/data_20260722/flash-lite-v42-0830/overall_swift/codingBasic_deepcodertacomedium_claude46opus_20260805.jsonl
15	17	=== flashlitev42_meta.json ===	codingBasic_multilingualbash_claude46opus_20260805	2582	2582	2557	25	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/hongjiawei/code/ms-swift-hjw/miniModel/data_20260722/flash-lite-v42-0830/overall_swift/codingBasic_multilingualbash_claude46opus_20260805.jsonl
16	18	=== flashlitev42_meta.json ===	codingBasic_multilingualcsharp_claude46opus_20260805	6333	6333	6301	32	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/hongjiawei/code/ms-swift-hjw/miniModel/data_20260722/flash-lite-v42-0830/overall_swift/codingBasic_multilingualcsharp_claude46opus_20260805.jsonl
17	19	=== flashlitev42_meta.json ===	codingBasic_multilingualgo_claude46opus_20260805	3410	3410	3403	7	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/hongjiawei/code/ms-swift-hjw/miniModel/data_20260722/flash-lite-v42-0830/overall_swift/codingBasic_multilingualgo_claude46opus_20260805.jsonl
18	20	=== flashlitev42_meta.json ===	codingBasic_multilingualjava_claude46opus_20260805	11914	11914	11850	64	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/hongjiawei/code/ms-swift-hjw/miniModel/data_20260722/flash-lite-v42-0830/overall_swift/codingBasic_multilingualjava_claude46opus_20260805.jsonl
19	21	=== flashlitev42_meta.json ===	codingBasic_multilingualphp_claude46opus_20260805	2948	2948	2862	86	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/hongjiawei/code/ms-swift-hjw/miniModel/data_20260722/flash-lite-v42-0830/overall_swift/codingBasic_multilingualphp_claude46opus_20260805.jsonl
20	22	=== flashlitev42_meta.json ===	codingBasic_multilingualr_claude46opus_20260805	2687	2687	2683	4	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/hongjiawei/code/ms-swift-hjw/miniModel/data_20260722/flash-lite-v42-0830/overall_swift/codingBasic_multilingualr_claude46opus_20260805.jsonl
21	23	=== flashlitev42_meta.json ===	codingBasic_multilingualruby_claude46opus_20260805	3292	3292	3262	30	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/hongjiawei/code/ms-swift-hjw/miniModel/data_20260722/flash-lite-v42-0830/overall_swift/codingBasic_multilingualruby_claude46opus_20260805.jsonl
22	24	=== flashlitev42_meta.json ===	codingBasic_multilingualscala_claude46opus_20260805	2797	2797	2789	8	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/hongjiawei/code/ms-swift-hjw/miniModel/data_20260722/flash-lite-v42-0830/overall_swift/codingBasic_multilingualscala_claude46opus_20260805.jsonl
23	25	=== flashlitev42_meta.json ===	codingBasic_multilingualsql_claude46opus_20260805	3189	3189	3169	20	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/hongjiawei/code/ms-swift-hjw/miniModel/data_20260722/flash-lite-v42-0830/overall_swift/codingBasic_multilingualsql_claude46opus_20260805.jsonl
24	26	=== flashlitev42_meta.json ===	codingBasic_rstarcodereasoneasy_claude46opus_20260805	42	42	42	0	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/hongjiawei/code/ms-swift-hjw/miniModel/data_20260722/flash-lite-v42-0830/overall_swift/codingBasic_rstarcodereasoneasy_claude46opus_20260805.jsonl
25	27	=== flashlitev42_meta.json ===	codingBasic_rstarcodereasonhard_claude46opus_20260805	197	197	197	0	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/hongjiawei/code/ms-swift-hjw/miniModel/data_20260722/flash-lite-v42-0830/overall_swift/codingBasic_rstarcodereasonhard_claude46opus_20260805.jsonl
26	28	=== flashlitev42_meta.json ===	codingBasic_rstarcodereasonmedium_claude46opus_20260805	124	124	124	0	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/hongjiawei/code/ms-swift-hjw/miniModel/data_20260722/flash-lite-v42-0830/overall_swift/codingBasic_rstarcodereasonmedium_claude46opus_20260805.jsonl
27	29	=== flashlitev42_meta.json ===	codingBasic_texttosqlhard_claude46opus_20260805	15454	15454	14719	735	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/hongjiawei/code/ms-swift-hjw/miniModel/data_20260722/flash-lite-v42-0830/overall_swift/codingBasic_texttosqlhard_claude46opus_20260805.jsonl
28	30	=== flashlitev42_meta.json ===	codingBasic_texttosqlmedium_claude46opus_20260805	8932	8932	8545	387	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/hongjiawei/code/ms-swift-hjw/miniModel/data_20260722/flash-lite-v42-0830/overall_swift/codingBasic_texttosqlmedium_claude46opus_20260805.jsonl
29	31	=== flashlitev42_meta.json ===	dataAnalysis_multifiles_claude5opus_customagentv3_linux_20260810	7580	7580	0	7580	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/hongjiawei/code/ms-swift-hjw/miniModel/data_20260722/flash-lite-v42-0830/overall_swift/dataAnalysis_multifiles_claude5opus_customagentv3_linux_20260810.jsonl
30	32	=== flashlitev42_meta.json ===	frontedCoding_ablationfix_claude5opus_claudecode2-1-197_linux_20260820	1839	1839	1684	155	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/hongjiawei/code/ms-swift-hjw/miniModel/data_20260722/flash-lite-v42-0830/overall_swift/frontedCoding_ablationfix_claude5opus_claudecode2-1-197_linux_20260820.jsonl
31	33	=== flashlitev42_meta.json ===	frontedCoding_allvalidfix_claude46opus_claudecode2-1-197_linux_20260820	6535	6535	6207	328	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/hongjiawei/code/ms-swift-hjw/miniModel/data_20260722/flash-lite-v42-0830/overall_swift/frontedCoding_allvalidfix_claude46opus_claudecode2-1-197_linux_20260820.jsonl
32	34	=== flashlitev42_meta.json ===	frontedCoding_hardtasksfix_claude47opus_claudecode2-1-197_linux_20260820	214	214	192	22	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/hongjiawei/code/ms-swift-hjw/miniModel/data_20260722/flash-lite-v42-0830/overall_swift/frontedCoding_hardtasksfix_claude47opus_claudecode2-1-197_linux_20260820.jsonl
33	35	=== flashlitev42_meta.json ===	frontedCoding_newtasksfix_claude5opus_claudecode2-1-197_linux_20260820	377	377	356	21	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/hongjiawei/code/ms-swift-hjw/miniModel/data_20260722/flash-lite-v42-0830/overall_swift/frontedCoding_newtasksfix_claude5opus_claudecode2-1-197_linux_20260820.jsonl
34	36	=== flashlitev42_meta.json ===	generalBasic_baseline-with-random-tools-125k-part01_mixed_20260705	6571	54762	54466	296	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/hongjiawei/code/ms-swift-hjw/miniModel/data_20260722/flash-lite-v42-0830/overall_swift/generalBasic_baseline-with-random-tools-125k-part01_mixed_20260705.jsonl
35	37	=== flashlitev42_meta.json ===	generalBasic_baseline-with-random-tools-125k-part02_mixed_20260705	6598	54982	54696	286	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/hongjiawei/code/ms-swift-hjw/miniModel/data_20260722/flash-lite-v42-0830/overall_swift/generalBasic_baseline-with-random-tools-125k-part02_mixed_20260705.jsonl
36	38	=== flashlitev42_meta.json ===	generalBasic_nlpthink_claude46opus_20260805	27022	45037	45036	1	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/hongjiawei/code/ms-swift-hjw/miniModel/data_20260722/flash-lite-v42-0830/overall_swift/generalBasic_nlpthink_claude46opus_20260805.jsonl
37	39	=== flashlitev42_meta.json ===	generalBasic_teichai-minimax-m21-8800x_minimaxm21_20260705	4762	7937	7906	31	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/hongjiawei/code/ms-swift-hjw/miniModel/data_20260722/flash-lite-v42-0830/overall_swift/generalBasic_teichai-minimax-m21-8800x_minimaxm21_20260705.jsonl
38	40	=== flashlitev42_meta.json ===	generalBasic_toolace-regenerated_glm45_20260705	366	122	117	5	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/hongjiawei/code/ms-swift-hjw/miniModel/data_20260722/flash-lite-v42-0830/overall_swift/generalBasic_toolace-regenerated_glm45_20260705.jsonl
39	41	=== flashlitev42_meta.json ===	generalBasic_toolgen-regenerated_glm45_20260705	606	202	202	0	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/hongjiawei/code/ms-swift-hjw/miniModel/data_20260722/flash-lite-v42-0830/overall_swift/generalBasic_toolgen-regenerated_glm45_20260705.jsonl
40	42	=== flashlitev42_meta.json ===	generalClaworiented_b1b2b3b4_claude48opus_custom_mac_20260630	3512	3512	604	2908	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/hongjiawei/code/ms-swift-hjw/miniModel/data_20260722/flash-lite-v42-0830/overall_swift/generalClaworiented_b1b2b3b4_claude48opus_custom_mac_20260630.jsonl
41	43	=== flashlitev42_meta.json ===	generalClaworiented_claw-aug-fullset2253_claude48opus_custom_mac_20260703	306	306	14	292	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/hongjiawei/code/ms-swift-hjw/miniModel/data_20260722/flash-lite-v42-0830/overall_swift/generalClaworiented_claw-aug-fullset2253_claude48opus_custom_mac_20260703.jsonl
42	44	=== flashlitev42_meta.json ===	generalClaworiented_claw-eval-gap-filling_claude48opus_custom_mac_20260706	1796	1796	1794	2	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/hongjiawei/code/ms-swift-hjw/miniModel/data_20260722/flash-lite-v42-0830/overall_swift/generalClaworiented_claw-eval-gap-filling_claude48opus_custom_mac_20260706.jsonl
43	45	=== flashlitev42_meta.json ===	generalClaworiented_claw-eval-sft-phase4_claude48opus_custom_mac_20260625	2402	2402	2400	2	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/hongjiawei/code/ms-swift-hjw/miniModel/data_20260722/flash-lite-v42-0830/overall_swift/generalClaworiented_claw-eval-sft-phase4_claude48opus_custom_mac_20260625.jsonl
44	46	=== flashlitev42_meta.json ===	generalClaworiented_claw-eval-sft_claude48opus_custom_mac_20260627	3672	3672	3667	5	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/hongjiawei/code/ms-swift-hjw/miniModel/data_20260722/flash-lite-v42-0830/overall_swift/generalClaworiented_claw-eval-sft_claude48opus_custom_mac_20260627.jsonl
45	47	=== flashlitev42_meta.json ===	generalClaworiented_taskcompletionmain_claude46opus_hermes0-19-0_linux_20260825	15	15	0	15	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/hongjiawei/code/ms-swift-hjw/miniModel/data_20260722/flash-lite-v42-0830/overall_swift/generalClaworiented_taskcompletionmain_claude46opus_hermes0-19-0_linux_20260825.jsonl
46	48	=== flashlitev42_meta.json ===	generalClaworiented_wild-claw-sft_claude48opus_openclaw260626_mac_20260626	5215	5215	5212	3	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/hongjiawei/code/ms-swift-hjw/miniModel/data_20260722/flash-lite-v42-0830/overall_swift/generalClaworiented_wild-claw-sft_claude48opus_openclaw260626_mac_20260626.jsonl
47	49	=== flashlitev42_meta.json ===	general_airline-3k-from-elastic-agent-gen-general-data_glm45_custom_linux_20260705	1808	1808	1808	0	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/hongjiawei/code/ms-swift-hjw/miniModel/data_20260722/flash-lite-v42-0830/overall_swift/general_airline-3k-from-elastic-agent-gen-general-data_glm45_custom_linux_20260705.jsonl
48	50	=== flashlitev42_meta.json ===	general_bfcl-multiturn-miss-param-by-glm-think_glm45_custom_linux_20260705	1426	2852	2852	0	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/hongjiawei/code/ms-swift-hjw/miniModel/data_20260722/flash-lite-v42-0830/overall_swift/general_bfcl-multiturn-miss-param-by-glm-think_glm45_custom_linux_20260705.jsonl
49	51	=== flashlitev42_meta.json ===	general_bfcl-multiturn-miss-param-with-profiles-by-glm-think_glm45_custom_linux_20260705	1440	2879	2879	0	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/hongjiawei/code/ms-swift-hjw/miniModel/data_20260722/flash-lite-v42-0830/overall_swift/general_bfcl-multiturn-miss-param-with-profiles-by-glm-think_glm45_custom_linux_20260705.jsonl
50	52	=== flashlitev42_meta.json ===	general_claw-eval-sft-part01_claude46opus_custom_linux_20260627	3702	7405	7400	5	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/hongjiawei/code/ms-swift-hjw/miniModel/data_20260722/flash-lite-v42-0830/overall_swift/general_claw-eval-sft-part01_claude46opus_custom_linux_20260627.jsonl
51	53	=== flashlitev42_meta.json ===	general_data-procure-jizhi-0424-l1-trajectory-only_minimaxm27_openclaw_linux_20260627	106	211	206	5	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/hongjiawei/code/ms-swift-hjw/miniModel/data_20260722/flash-lite-v42-0830/overall_swift/general_data-procure-jizhi-0424-l1-trajectory-only_minimaxm27_openclaw_linux_20260627.jsonl
52	54	=== flashlitev42_meta.json ===	general_data-procure-jizhi-0424-l3_minimaxm27_openclaw_linux_20260627	210	420	399	21	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/hongjiawei/code/ms-swift-hjw/miniModel/data_20260722/flash-lite-v42-0830/overall_swift/general_data-procure-jizhi-0424-l3_minimaxm27_openclaw_linux_20260627.jsonl
53	55	=== flashlitev42_meta.json ===	general_data-procure-jizhi-0506-real-15k_claude46opus_openclaw_linux_20260627	832	1665	1650	15	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/hongjiawei/code/ms-swift-hjw/miniModel/data_20260722/flash-lite-v42-0830/overall_swift/general_data-procure-jizhi-0506-real-15k_claude46opus_openclaw_linux_20260627.jsonl
54	56	=== flashlitev42_meta.json ===	general_data-procure-jizhi-0506-unreal-26k_deepseek4flash_openclaw_linux_20260709	6253	12506	12286	220	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/hongjiawei/code/ms-swift-hjw/miniModel/data_20260722/flash-lite-v42-0830/overall_swift/general_data-procure-jizhi-0506-unreal-26k_deepseek4flash_openclaw_linux_20260709.jsonl
55	57	=== flashlitev42_meta.json ===	general_data-procure-jizhi-0513-batch1to13_deepseek4flash_openclaw_linux_20260627	4172	8344	8035	309	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/hongjiawei/code/ms-swift-hjw/miniModel/data_20260722/flash-lite-v42-0830/overall_swift/general_data-procure-jizhi-0513-batch1to13_deepseek4flash_openclaw_linux_20260627.jsonl
56	58	=== flashlitev42_meta.json ===	general_data-procure-jizhi-0518_gpt55_openclaw_linux_20260627	3312	6624	6371	253	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/hongjiawei/code/ms-swift-hjw/miniModel/data_20260722/flash-lite-v42-0830/overall_swift/general_data-procure-jizhi-0518_gpt55_openclaw_linux_20260627.jsonl
57	59	=== flashlitev42_meta.json ===	general_data-procure-jizhi-0520_deepseek4flash_openclaw_linux_20260627	4017	8034	7650	384	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/hongjiawei/code/ms-swift-hjw/miniModel/data_20260722/flash-lite-v42-0830/overall_swift/general_data-procure-jizhi-0520_deepseek4flash_openclaw_linux_20260627.jsonl
58	60	=== flashlitev42_meta.json ===	general_data-procure-jizhi-0522_deepseek4flash_openclaw_linux_20260627	910	1820	1734	86	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/hongjiawei/code/ms-swift-hjw/miniModel/data_20260722/flash-lite-v42-0830/overall_swift/general_data-procure-jizhi-0522_deepseek4flash_openclaw_linux_20260627.jsonl
59	61	=== flashlitev42_meta.json ===	general_data-procure-prt-0429-batch1_qwen36plus_openclaw_linux_20260627	192	3843	3840	3	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/hongjiawei/code/ms-swift-hjw/miniModel/data_20260722/flash-lite-v42-0830/overall_swift/general_data-procure-prt-0429-batch1_qwen36plus_openclaw_linux_20260627.jsonl
60	62	=== flashlitev42_meta.json ===	general_data-procure-prt-0509-without-batch1_qwen36plus_openclaw_linux_20260627	1236	24718	24689	29	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/hongjiawei/code/ms-swift-hjw/miniModel/data_20260722/flash-lite-v42-0830/overall_swift/general_data-procure-prt-0509-without-batch1_qwen36plus_openclaw_linux_20260627.jsonl
61	63	=== flashlitev42_meta.json ===	general_data-procure-prt-0519_qwen36plus_openclaw_linux_20260627	1980	39597	39538	59	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/hongjiawei/code/ms-swift-hjw/miniModel/data_20260722/flash-lite-v42-0830/overall_swift/general_data-procure-prt-0519_qwen36plus_openclaw_linux_20260627.jsonl
62	64	=== flashlitev42_meta.json ===	general_data-return-new-api-2026-0414-0612_mixed_mixed_mixed_20260709	288	575	307	268	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/hongjiawei/code/ms-swift-hjw/miniModel/data_20260722/flash-lite-v42-0830/overall_swift/general_data-return-new-api-2026-0414-0612_mixed_mixed_mixed_20260709.jsonl
63	65	=== flashlitev42_meta.json ===	general_data-return-new-api-2026-0613-0630_mixed_mixed_mixed_20260709	114	229	87	142	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/hongjiawei/code/ms-swift-hjw/miniModel/data_20260722/flash-lite-v42-0830/overall_swift/general_data-return-new-api-2026-0613-0630_mixed_mixed_mixed_20260709.jsonl
64	66	=== flashlitev42_meta.json ===	general_deepplanning-shopping-travel-sft-llmchecked_qwen35plus_custom_linux_20260702	1686	3371	3371	0	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/hongjiawei/code/ms-swift-hjw/miniModel/data_20260722/flash-lite-v42-0830/overall_swift/general_deepplanning-shopping-travel-sft-llmchecked_qwen35plus_custom_linux_20260702.jsonl
65	67	=== flashlitev42_meta.json ===	general_openclaw-gen-data-v3_claude47opus_openclaw_linux_20260627	488	976	952	24	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/hongjiawei/code/ms-swift-hjw/miniModel/data_20260722/flash-lite-v42-0830/overall_swift/general_openclaw-gen-data-v3_claude47opus_openclaw_linux_20260627.jsonl
66	68	=== flashlitev42_meta.json ===	general_realtasks-airline-base-elasticagent_deepseek32_custom_linux_20260705	605	242	242	0	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/hongjiawei/code/ms-swift-hjw/miniModel/data_20260722/flash-lite-v42-0830/overall_swift/general_realtasks-airline-base-elasticagent_deepseek32_custom_linux_20260705.jsonl
67	69	=== flashlitev42_meta.json ===	general_realtasks-post-tweet-base-elasticagent_deepseek32_custom_linux_20260705	935	374	374	0	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/hongjiawei/code/ms-swift-hjw/miniModel/data_20260722/flash-lite-v42-0830/overall_swift/general_realtasks-post-tweet-base-elasticagent_deepseek32_custom_linux_20260705.jsonl
68	70	=== flashlitev42_meta.json ===	general_tau-retail-airline-claude-intent_glm45_taubench_linux_20260705	5371	5371	5371	0	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/hongjiawei/code/ms-swift-hjw/miniModel/data_20260722/flash-lite-v42-0830/overall_swift/general_tau-retail-airline-claude-intent_glm45_taubench_linux_20260705.jsonl
69	71	=== flashlitev42_meta.json ===	general_tau2-bench-airline-batch2_claude46opus_taubench_linux_20260701	2432	4865	4865	0	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/hongjiawei/code/ms-swift-hjw/miniModel/data_20260722/flash-lite-v42-0830/overall_swift/general_tau2-bench-airline-batch2_claude46opus_taubench_linux_20260701.jsonl
70	72	=== flashlitev42_meta.json ===	general_tau3-banking-claude47-bm25_claude47opus_taubench_linux_20260703	253	506	506	0	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/hongjiawei/code/ms-swift-hjw/miniModel/data_20260722/flash-lite-v42-0830/overall_swift/general_tau3-banking-claude47-bm25_claude47opus_taubench_linux_20260703.jsonl
71	73	=== flashlitev42_meta.json ===	general_tau3-banking-claude47-embedding_claude47opus_taubench_linux_20260703	323	646	646	0	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/hongjiawei/code/ms-swift-hjw/miniModel/data_20260722/flash-lite-v42-0830/overall_swift/general_tau3-banking-claude47-embedding_claude47opus_taubench_linux_20260703.jsonl
72	74	=== flashlitev42_meta.json ===	general_tau3-banking-glm51-embedding_glm51_taubench_linux_20260703	110	220	220	0	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/hongjiawei/code/ms-swift-hjw/miniModel/data_20260722/flash-lite-v42-0830/overall_swift/general_tau3-banking-glm51-embedding_glm51_taubench_linux_20260703.jsonl
73	75	=== flashlitev42_meta.json ===	general_tau3-banking-gpt54-bm25_gpt54_taubench_linux_20260703	289	578	578	0	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/hongjiawei/code/ms-swift-hjw/miniModel/data_20260722/flash-lite-v42-0830/overall_swift/general_tau3-banking-gpt54-bm25_gpt54_taubench_linux_20260703.jsonl
74	76	=== flashlitev42_meta.json ===	general_tau3-banking-gpt54-embedding_gpt54_taubench_linux_20260703	308	617	617	0	0	0	0	/mnt/afs_agents/zhaoyifei/ms-swift-zyf/data/hongjiawei/code/ms-swift-hjw/miniModel/data_20260722/flash-lite-v42-0830/overall_swift/general_tau3-banking-gpt54-embedding_gpt54_taubench_linux_20260703.jsonl
